Route,Loco,Required DLC
DRA,BR193 Vectron,FTF
LBN,Class 166,GWE
LBN,Class 313/2 SN,ECW
LBN,Class 375/9 SEB,SEH
LBN,Class 66,"CLA, CLP, PDB, ECW, EDN, SEH, RHTT, GWE, EMK"
WCL,Class 08,"TVL, NTP, GWE"
WCL,Class 101,"NTP, GWE"
WCL,Class 142,BPO
WCL,Class 40 BLU,NTP
WCL,Class 45/1 BLU,NTP
WCL,Class 47,"NTP, BPO, PSC"
SMH,AC440CW,CCB
DCZ,766.2 DBpbzfa,"DRA, FTF, HML, MSB, MKN, RT, RSN, SRM, KWG"
DCZ,BR 112.1,HML
DCZ,BR 1442 Talent 2,RT
DCZ,BR 155,"BRo, RSN"
DCZ,BR 182,"HML, KWG, RT"
DCZ,BR 185.5,"DRA, RRO"
DCZ,BR 187,SKA
DCZ,BR 193 Vectron,"FTF, DRA"
DCZ,BR 442,"DRA, KWG"
DCZ,DB G6 Shunter,RRO
DCZ,OBB 1116,SRM
HSC,GP38-2 UP,SFJ
KWG,BR 101,HRR
KWG,BR 155,"BRO, RSN"
KWG,BR 182,"HML, KWG, RT"
KWG,BR 185.5,"DRA, RRO"
KWG,BR 187,SKA
KWG,BR 193 Vectron,"FTF, DRA"
BCC,Class 37/5 RF,TVL
BCC,Class 66,"CLA, CLP, PDB, ECW, EDN, SEH, RHTT, GWE, EMK"
BCC,High Speed Train,GWE
BRO,BR 101,HRR
BRO,BR 103,LFR
BRO,BR 146.2,"DRA, FTF, MSB, KWG"
BRO,BR 182,"HML, KWG, RT"
BRO,BR 185,"DCZ, MKN, SRM"
BRO,BR 185.2,"MSB, RSN, KWG, VBRG"
BRO,BR 185.5,"DRA, RRO"
BRO,BR 187,SKA
BRO,BR 193 Vectron,"FTF, DRA"
BRO,BR 363 DBB,"DCZ, DRA, MTB, RSN"
BRO,BR 612,"DCZ, "
BRO,BR 642,MTB
BRO,BR 642 DB,MTB
BRO,DB BR 101 Expert,x3
BRO,DB BR 187,SKA
BRO,DB BR 612,DCZ
BRO,DB G6 Shunter,RRO
BRO,DB ICE 1,KWG
EDN,Class 158,EDN 
EDN,Class 170,FCE 
EDN,Class 314,CCL
EDN,Class 37,WCL
EDN,Class 380,CCL
EDN,Class 66,"CLA, CLP, PDB, ECW, EDN, SEH, RHTT, GWE, EMK"
EDN,Class 801 LNER,PDB
EDN,Flying Scotsman,PDB
EDN,High Speed Train,GWE
EDN,LMS Jubilee Black,WCL
NYT,Acela Express Amtrak,BPE
LFR,BR 401 ICE 1,KWG
LFR,BR 628.2,NID
MML,Class 37/7 EPX,SEH
MML,Class 45/1 BLU,NTP
MML,Class 47 GRN,WSR
MML,Class 52,"GWE, WSR"
MML,Class 66,"CLA, CLP, PDB, ECW, EDN, SEH, RHTT, GWE, EMK"
MML,Flying Scotsman,PDB
MML,LMS Jubilee Black Festive,WCL
MGP,Class 158 EMT,MML
MGP,Class 20 RF,TVL
MGP,Class 37/5 RF,TVL
MGP,Class 40 BLU,NTP
MGP,Class 66,"CLA, CLP, PDB, ECW, EDN, SEH, RHTT, GWE, EMK"
MGP,LMS Jubilee,SoS
ALV,AC4400CW UP,CC
ALV,BNSF ES44C4,CJP
ALV,BNSF SD70ACe,"CJP, SMH, Heritage Collection"
ALV,F7,CJP
PDB,Class 158/0 EMT,MML
PDB,Class 47 GRN,WSR
PDB,Class 700/0 TL,SEH
PDB,High Speed Train EMT,MML
VBRG,BR 182,HML
VBRG,BR 193 Vectron,"FTF, DRA"
VBRG,OBB 1116,SBN
